# wavelength[nm] / analyte_index / effective index isolated plasmonic lossy
 (1793.975904+0.000000j)	 (1.420000+0.000000j)	 (1.883976+0.093985j)
 (1796.385542+0.000000j)	 (1.420000+0.000000j)	 (1.882758+0.093782j)
 (1798.795181+0.000000j)	 (1.420000+0.000000j)	 (1.881545+0.093580j)
 (1801.204819+0.000000j)	 (1.420000+0.000000j)	 (1.880335+0.093380j)
 (1803.614458+0.000000j)	 (1.420000+0.000000j)	 (1.879128+0.093181j)
 (1806.024096+0.000000j)	 (1.420000+0.000000j)	 (1.877926+0.092983j)
 (1808.433735+0.000000j)	 (1.420000+0.000000j)	 (1.876728+0.092788j)
 (1810.843373+0.000000j)	 (1.420000+0.000000j)	 (1.875534+0.092593j)
 (1813.253012+0.000000j)	 (1.420000+0.000000j)	 (1.874343+0.092400j)
 (1815.662651+0.000000j)	 (1.420000+0.000000j)	 (1.873156+0.092209j)
 (1818.072289+0.000000j)	 (1.420000+0.000000j)	 (1.871974+0.092019j)
 (1820.481928+0.000000j)	 (1.420000+0.000000j)	 (1.870795+0.091830j)
 (1822.891566+0.000000j)	 (1.420000+0.000000j)	 (1.869620+0.091643j)
 (1825.301205+0.000000j)	 (1.420000+0.000000j)	 (1.868448+0.091457j)
 (1827.710843+0.000000j)	 (1.420000+0.000000j)	 (1.867281+0.091273j)
 (1830.120482+0.000000j)	 (1.420000+0.000000j)	 (1.866118+0.091090j)
 (1832.530120+0.000000j)	 (1.420000+0.000000j)	 (1.864958+0.090909j)
 (1834.939759+0.000000j)	 (1.420000+0.000000j)	 (1.863802+0.090729j)
 (1837.349398+0.000000j)	 (1.420000+0.000000j)	 (1.862650+0.090550j)
 (1839.759036+0.000000j)	 (1.420000+0.000000j)	 (1.861502+0.090372j)
 (1842.168675+0.000000j)	 (1.420000+0.000000j)	 (1.860358+0.090197j)
 (1844.578313+0.000000j)	 (1.420000+0.000000j)	 (1.859217+0.090022j)
 (1846.987952+0.000000j)	 (1.420000+0.000000j)	 (1.858080+0.089849j)
 (1849.397590+0.000000j)	 (1.420000+0.000000j)	 (1.856947+0.089677j)
 (1851.807229+0.000000j)	 (1.420000+0.000000j)	 (1.855818+0.089506j)
 (1854.216867+0.000000j)	 (1.420000+0.000000j)	 (1.854693+0.089337j)
 (1856.626506+0.000000j)	 (1.420000+0.000000j)	 (1.853571+0.089169j)
 (1859.036145+0.000000j)	 (1.420000+0.000000j)	 (1.852453+0.089002j)
