# wavelength[nm] / analyte_index / effective index supermode 2 lossless
 (1736.144578+0.000000j)	 (1.420000+0.000000j)	 (1.786047-0.000000j)
 (1738.554217+0.000000j)	 (1.420000+0.000000j)	 (1.783742+0.000000j)
 (1740.963855+0.000000j)	 (1.420000+0.000000j)	 (1.781450+0.000000j)
 (1743.373494+0.000000j)	 (1.420000+0.000000j)	 (1.779168+0.000000j)
 (1745.783133+0.000000j)	 (1.420000+0.000000j)	 (1.776898+0.000000j)
 (1748.192771+0.000000j)	 (1.420000+0.000000j)	 (1.774640-0.000000j)
 (1750.602410+0.000000j)	 (1.420000+0.000000j)	 (1.772394+0.000000j)
 (1753.012048+0.000000j)	 (1.420000+0.000000j)	 (1.770160+0.000000j)
 (1755.421687+0.000000j)	 (1.420000+0.000000j)	 (1.767937+0.000000j)
 (1757.831325+0.000000j)	 (1.420000+0.000000j)	 (1.765726-0.000000j)
 (1760.240964+0.000000j)	 (1.420000+0.000000j)	 (1.763528+0.000000j)
 (1762.650602+0.000000j)	 (1.420000+0.000000j)	 (1.761341-0.000000j)
 (1765.060241+0.000000j)	 (1.420000+0.000000j)	 (1.759166-0.000000j)
 (1767.469880+0.000000j)	 (1.420000+0.000000j)	 (1.757003-0.000000j)
 (1769.879518+0.000000j)	 (1.420000+0.000000j)	 (1.754852-0.000000j)
 (1772.289157+0.000000j)	 (1.420000+0.000000j)	 (1.752713-0.000000j)
 (1774.698795+0.000000j)	 (1.420000+0.000000j)	 (1.750587-0.000000j)
 (1777.108434+0.000000j)	 (1.420000+0.000000j)	 (1.748472-0.000000j)
 (1779.518072+0.000000j)	 (1.420000+0.000000j)	 (1.746370-0.000000j)
 (1781.927711+0.000000j)	 (1.420000+0.000000j)	 (1.744280-0.000000j)
 (1784.337349+0.000000j)	 (1.420000+0.000000j)	 (1.742202-0.000000j)
 (1786.746988+0.000000j)	 (1.420000+0.000000j)	 (1.740136-0.000000j)
 (1789.156627+0.000000j)	 (1.420000+0.000000j)	 (1.738083-0.000000j)
 (1791.566265+0.000000j)	 (1.420000+0.000000j)	 (1.736041-0.000000j)
 (1793.975904+0.000000j)	 (1.420000+0.000000j)	 (1.734012+0.000000j)
 (1796.385542+0.000000j)	 (1.420000+0.000000j)	 (1.731996-0.000000j)
 (1798.795181+0.000000j)	 (1.420000+0.000000j)	 (1.729991-0.000000j)
 (1801.204819+0.000000j)	 (1.420000+0.000000j)	 (1.727999+0.000000j)
 (1803.614458+0.000000j)	 (1.420000+0.000000j)	 (1.726019+0.000000j)
 (1806.024096+0.000000j)	 (1.420000+0.000000j)	 (1.724051-0.000000j)
 (1808.433735+0.000000j)	 (1.420000+0.000000j)	 (1.722095+0.000000j)
 (1810.843373+0.000000j)	 (1.420000+0.000000j)	 (1.720152-0.000000j)
 (1813.253012+0.000000j)	 (1.420000+0.000000j)	 (1.718221+0.000000j)
 (1815.662651+0.000000j)	 (1.420000+0.000000j)	 (1.716302-0.000000j)
 (1818.072289+0.000000j)	 (1.420000+0.000000j)	 (1.714395-0.000000j)
 (1820.481928+0.000000j)	 (1.420000+0.000000j)	 (1.712501-0.000000j)
 (1822.891566+0.000000j)	 (1.420000+0.000000j)	 (1.710618-0.000000j)
 (1825.301205+0.000000j)	 (1.420000+0.000000j)	 (1.708748-0.000000j)
