# wavelength[nm] / analyte_index / effective index isolated plasmonic lossless
 (1846.987952+0.000000j)	 (1.420000+0.000000j)	 (1.871890-0.000000j)
 (1849.397590+0.000000j)	 (1.420000+0.000000j)	 (1.870740+0.000000j)
 (1851.807229+0.000000j)	 (1.420000+0.000000j)	 (1.869595+0.000000j)
 (1854.216867+0.000000j)	 (1.420000+0.000000j)	 (1.868453+0.000000j)
 (1856.626506+0.000000j)	 (1.420000+0.000000j)	 (1.867316-0.000000j)
 (1859.036145+0.000000j)	 (1.420000+0.000000j)	 (1.866182+0.000000j)
 (1861.445783+0.000000j)	 (1.420000+0.000000j)	 (1.865053-0.000000j)
 (1863.855422+0.000000j)	 (1.420000+0.000000j)	 (1.863927+0.000000j)
 (1866.265060+0.000000j)	 (1.420000+0.000000j)	 (1.862806+0.000000j)
 (1868.674699+0.000000j)	 (1.420000+0.000000j)	 (1.861688-0.000000j)
 (1871.084337+0.000000j)	 (1.420000+0.000000j)	 (1.860575+0.000000j)
 (1873.493976+0.000000j)	 (1.420000+0.000000j)	 (1.859465-0.000000j)
 (1875.903614+0.000000j)	 (1.420000+0.000000j)	 (1.858360+0.000000j)
 (1878.313253+0.000000j)	 (1.420000+0.000000j)	 (1.857258+0.000000j)
 (1880.722892+0.000000j)	 (1.420000+0.000000j)	 (1.856161-0.000000j)
 (1883.132530+0.000000j)	 (1.420000+0.000000j)	 (1.855067-0.000000j)
 (1885.542169+0.000000j)	 (1.420000+0.000000j)	 (1.853978-0.000000j)
 (1887.951807+0.000000j)	 (1.420000+0.000000j)	 (1.852892+0.000000j)
 (1890.361446+0.000000j)	 (1.420000+0.000000j)	 (1.851810+0.000000j)
 (1892.771084+0.000000j)	 (1.420000+0.000000j)	 (1.850732+0.000000j)
 (1895.180723+0.000000j)	 (1.420000+0.000000j)	 (1.849658+0.000000j)
 (1897.590361+0.000000j)	 (1.420000+0.000000j)	 (1.848588-0.000000j)
 (1900.000000+0.000000j)	 (1.420000+0.000000j)	 (1.847521-0.000000j)
