# wavelength[nm] / analyte_index / effective index isolated dielectric
 (1745.783133+0.000000j)	 (1.420000+0.000000j)	 (1.868761+0.000000j)
 (1748.192771+0.000000j)	 (1.420000+0.000000j)	 (1.866706+0.000000j)
 (1750.602410+0.000000j)	 (1.420000+0.000000j)	 (1.864660+0.000000j)
 (1753.012048+0.000000j)	 (1.420000+0.000000j)	 (1.862625+0.000000j)
 (1755.421687+0.000000j)	 (1.420000+0.000000j)	 (1.860600-0.000000j)
 (1757.831325+0.000000j)	 (1.420000+0.000000j)	 (1.858586-0.000000j)
 (1760.240964+0.000000j)	 (1.420000+0.000000j)	 (1.856581+0.000000j)
 (1762.650602+0.000000j)	 (1.420000+0.000000j)	 (1.854588+0.000000j)
 (1765.060241+0.000000j)	 (1.420000+0.000000j)	 (1.852604+0.000000j)
 (1767.469880+0.000000j)	 (1.420000+0.000000j)	 (1.850631+0.000000j)
 (1769.879518+0.000000j)	 (1.420000+0.000000j)	 (1.848667+0.000000j)
 (1772.289157+0.000000j)	 (1.420000+0.000000j)	 (1.846714+0.000000j)
 (1774.698795+0.000000j)	 (1.420000+0.000000j)	 (1.844772-0.000000j)
 (1777.108434+0.000000j)	 (1.420000+0.000000j)	 (1.842839+0.000000j)
 (1779.518072+0.000000j)	 (1.420000+0.000000j)	 (1.840916+0.000000j)
 (1781.927711+0.000000j)	 (1.420000+0.000000j)	 (1.839004-0.000000j)
 (1784.337349+0.000000j)	 (1.420000+0.000000j)	 (1.837101-0.000000j)
 (1786.746988+0.000000j)	 (1.420000+0.000000j)	 (1.835208+0.000000j)
 (1789.156627+0.000000j)	 (1.420000+0.000000j)	 (1.833326+0.000000j)
 (1791.566265+0.000000j)	 (1.420000+0.000000j)	 (1.831453+0.000000j)
 (1793.975904+0.000000j)	 (1.420000+0.000000j)	 (1.829590+0.000000j)
 (1796.385542+0.000000j)	 (1.420000+0.000000j)	 (1.827737+0.000000j)
 (1798.795181+0.000000j)	 (1.420000+0.000000j)	 (1.825894+0.000000j)
 (1801.204819+0.000000j)	 (1.420000+0.000000j)	 (1.824061+0.000000j)
 (1803.614458+0.000000j)	 (1.420000+0.000000j)	 (1.822237+0.000000j)
 (1806.024096+0.000000j)	 (1.420000+0.000000j)	 (1.820423+0.000000j)
 (1808.433735+0.000000j)	 (1.420000+0.000000j)	 (1.818619+0.000000j)
 (1810.843373+0.000000j)	 (1.420000+0.000000j)	 (1.816825+0.000000j)
 (1813.253012+0.000000j)	 (1.420000+0.000000j)	 (1.815040-0.000000j)
 (1815.662651+0.000000j)	 (1.420000+0.000000j)	 (1.813264+0.000000j)
 (1818.072289+0.000000j)	 (1.420000+0.000000j)	 (1.811498-0.000000j)
 (1820.481928+0.000000j)	 (1.420000+0.000000j)	 (1.809742+0.000000j)
 (1822.891566+0.000000j)	 (1.420000+0.000000j)	 (1.807995+0.000000j)
 (1825.301205+0.000000j)	 (1.420000+0.000000j)	 (1.806258+0.000000j)
 (1827.710843+0.000000j)	 (1.420000+0.000000j)	 (1.804530+0.000000j)
 (1830.120482+0.000000j)	 (1.420000+0.000000j)	 (1.802811+0.000000j)
 (1832.530120+0.000000j)	 (1.420000+0.000000j)	 (1.801102+0.000000j)
 (1834.939759+0.000000j)	 (1.420000+0.000000j)	 (1.799402-0.000000j)
 (1837.349398+0.000000j)	 (1.420000+0.000000j)	 (1.797711+0.000000j)
 (1839.759036+0.000000j)	 (1.420000+0.000000j)	 (1.796030+0.000000j)
 (1842.168675+0.000000j)	 (1.420000+0.000000j)	 (1.794357-0.000000j)
 (1844.578313+0.000000j)	 (1.420000+0.000000j)	 (1.792694-0.000000j)
 (1846.987952+0.000000j)	 (1.420000+0.000000j)	 (1.791040+0.000000j)
 (1849.397590+0.000000j)	 (1.420000+0.000000j)	 (1.789394+0.000000j)
