# wavelength[nm] / analyte_index / effective index supermode 1 lossy
 (1675.903614+0.000000j)	 (1.420000+0.000000j)	 (2.009469+0.054720j)
 (1678.313253+0.000000j)	 (1.420000+0.000000j)	 (2.008328+0.054871j)
 (1680.722892+0.000000j)	 (1.420000+0.000000j)	 (2.007190+0.055012j)
 (1683.132530+0.000000j)	 (1.420000+0.000000j)	 (2.006057+0.055146j)
 (1685.542169+0.000000j)	 (1.420000+0.000000j)	 (2.004929+0.055271j)
 (1687.951807+0.000000j)	 (1.420000+0.000000j)	 (2.003804+0.055389j)
 (1690.361446+0.000000j)	 (1.420000+0.000000j)	 (2.002683+0.055499j)
 (1692.771084+0.000000j)	 (1.420000+0.000000j)	 (2.001566+0.055602j)
 (1695.180723+0.000000j)	 (1.420000+0.000000j)	 (2.000453+0.055698j)
 (1697.590361+0.000000j)	 (1.420000+0.000000j)	 (1.999344+0.055788j)
 (1700.000000+0.000000j)	 (1.420000+0.000000j)	 (1.998238+0.055872j)
 (1702.409639+0.000000j)	 (1.420000+0.000000j)	 (1.997137+0.055950j)
 (1704.819277+0.000000j)	 (1.420000+0.000000j)	 (1.996038+0.056022j)
 (1707.228916+0.000000j)	 (1.420000+0.000000j)	 (1.994944+0.056089j)
 (1709.638554+0.000000j)	 (1.420000+0.000000j)	 (1.993853+0.056151j)
 (1712.048193+0.000000j)	 (1.420000+0.000000j)	 (1.992766+0.056207j)
 (1714.457831+0.000000j)	 (1.420000+0.000000j)	 (1.991682+0.056259j)
 (1716.867470+0.000000j)	 (1.420000+0.000000j)	 (1.990602+0.056306j)
 (1719.277108+0.000000j)	 (1.420000+0.000000j)	 (1.989526+0.056349j)
 (1721.686747+0.000000j)	 (1.420000+0.000000j)	 (1.988453+0.056388j)
 (1724.096386+0.000000j)	 (1.420000+0.000000j)	 (1.987383+0.056423j)
 (1726.506024+0.000000j)	 (1.420000+0.000000j)	 (1.986317+0.056453j)
 (1728.915663+0.000000j)	 (1.420000+0.000000j)	 (1.985255+0.056481j)
 (1731.325301+0.000000j)	 (1.420000+0.000000j)	 (1.984196+0.056504j)
 (1733.734940+0.000000j)	 (1.420000+0.000000j)	 (1.983140+0.056524j)
 (1736.144578+0.000000j)	 (1.420000+0.000000j)	 (1.982088+0.056542j)
 (1738.554217+0.000000j)	 (1.420000+0.000000j)	 (1.981040+0.056555j)
 (1740.963855+0.000000j)	 (1.420000+0.000000j)	 (1.979995+0.056566j)
 (1743.373494+0.000000j)	 (1.420000+0.000000j)	 (1.978953+0.056575j)
 (1745.783133+0.000000j)	 (1.420000+0.000000j)	 (1.977915+0.056580j)
 (1748.192771+0.000000j)	 (1.420000+0.000000j)	 (1.976881+0.056583j)
