# wavelength[nm] / analyte_index / effective index supermode 1 lossless
 (1873.493976+0.000000j)	 (1.420000+0.000000j)	 (1.943006-0.000000j)
 (1875.903614+0.000000j)	 (1.420000+0.000000j)	 (1.942096-0.000000j)
 (1878.313253+0.000000j)	 (1.420000+0.000000j)	 (1.941189+0.000000j)
 (1880.722892+0.000000j)	 (1.420000+0.000000j)	 (1.940286-0.000000j)
 (1883.132530+0.000000j)	 (1.420000+0.000000j)	 (1.939387-0.000000j)
 (1885.542169+0.000000j)	 (1.420000+0.000000j)	 (1.938493-0.000000j)
 (1887.951807+0.000000j)	 (1.420000+0.000000j)	 (1.937602+0.000000j)
 (1890.361446+0.000000j)	 (1.420000+0.000000j)	 (1.936715+0.000000j)
 (1892.771084+0.000000j)	 (1.420000+0.000000j)	 (1.935832+0.000000j)
 (1895.180723+0.000000j)	 (1.420000+0.000000j)	 (1.934953-0.000000j)
 (1897.590361+0.000000j)	 (1.420000+0.000000j)	 (1.934078-0.000000j)
 (1900.000000+0.000000j)	 (1.420000+0.000000j)	 (1.933207-0.000000j)
